fips,No. of clinics per 1000 women with demand,colour assignment 
28031,0.9434,0.5
28033,0.0873,0.5
28035,0.8532,0.5
28037,2.7027,2.5
28039,0.4032,0.5
28041,0.813,0.5
28043,0.7968,0.5
28045,0.3976,0.5
28047,0.349,0.5
28049,0.5149,0.5
28051,0.9217,0.5
28053,2.1739,2.5
28057,0.7273,0.5
28059,0.2313,0.5
28061,1.0989,1.5
28063,3.7975,3.5
28065,1.6949,1.5
28067,0.25,0.5
28069,3.5398,3.5
28071,0.1093,0.5
28073,0.3593,0.5
28075,0.2155,0.5
28077,2.2556,2.5
28079,0.8658,0.5
28081,0.0946,0.5
28083,0.5013,0.5
28085,0.7335,0.5
28087,0.1295,0.5
28089,0.2918,0.5
28091,0.7634,0.5
28093,0.7264,0.5
28095,0.8108,0.5
28097,1.9417,1.5
28099,1.2422,1.5
28101,0.8299,0.5
28103,1.5873,1.5
28105,0.2179,0.5
28107,0.5168,0.5
28109,0.3273,0.5
28111,2.1898,2.5
28113,0.6316,0.5
28115,0.271,0.5
28117,0.7273,0.5
28119,2.439,2.5
28121,0.2552,0.5
28123,0.974,0.5
28125,2.1277,2.5
28127,0.639,0.5
28129,1.8519,1.5
28131,0.4975,0.5
28133,1.3201,1.5
28135,0.7407,0.5
28137,0.5666,0.5
28139,1.2552,1.5
28141,0.5155,0.5
28143,2.1277,2.5
28145,0.3236,0.5
28147,1.3158,1.5
28149,0.6969,0.5
28151,0.8503,0.5
28153,0.4425,0.5
28155,1.0101,1.5
28157,1.2658,1.5
28159,1.0811,1.5
28161,0.7576,0.5
28163,1.0417,1.5
29001,0.6897,0.5
29003,0.5348,0.5
29005,2.1277,2.5
29007,0.8451,0.5
29009,1.5432,1.5
29011,1.8018,1.5
29013,1.1834,1.5
29015,1.5385,1.5
29017,0.8065,0.5
29019,0.1708,0.5
29021,0.3795,0.5
29023,0.4274,0.5
29025,3.3708,3.5
29027,0.3738,0.5
29029,1.108,1.5
29031,0.1903,0.5
29033,2.381,2.5
29035,3.3898,3.5
29037,0.4337,0.5
29041,6.3492,8
29045,1.5625,1.5
29047,0.1325,0.5
29051,0.2301,0.5
29057,1.6393,1.5
29059,0.6369,0.5
29067,0.9346,0.5
29069,0.2976,0.5
29071,0.3604,0.5
29075,1.5873,1.5
29077,0.1274,0.5
29079,1.0101,1.5
29081,2.7027,2.5
29083,1.0101,1.5
29085,3.125,3.5
29087,5.4054,8
29089,0.9091,0.5
29091,0.6977,0.5
29093,2.2222,2.5
29095,0.1441,0.5
29097,0.2033,0.5
29099,0.1168,0.5
29101,0.1261,0.5
29103,2.9412,2.5
29105,0.2611,0.5
29107,0.8824,0.5
29109,0.2695,0.5
29111,0.8621,0.5
29115,0.885,0.5
29117,0.5128,0.5
29119,0.7634,0.5
29121,0.8333,0.5
29125,0.6098,0.5
29127,0.8299,0.5
29131,0.8197,0.5
29133,1.6129,1.5
29135,0.6135,0.5
29137,1.3699,1.5
29141,1.1628,1.5
29143,1.6854,1.5
29145,0.3221,0.5
29149,1.087,1.5
29153,1.4493,1.5
29155,1.0811,1.5
29157,0.5155,0.5
29159,0.4098,0.5
29161,0.5725,0.5
29163,0.6289,0.5
29165,0.0829,0.5
29167,0.2618,0.5
29171,2.439,2.5
29173,1.0204,1.5
29175,0.3717,0.5
29177,0.4274,0.5
29179,1.9231,1.5
29181,0.7634,0.5
29183,0.7605,0.5
29187,0.4619,0.5
29189,1.4286,1.5
29197,0.0634,0.5
29199,4.1096,4.5
29201,0.1445,0.5
29203,0.1318,0.5
29207,1.0453,1.5
29209,1.2097,1.5
29211,1.7241,1.5
29213,0.4862,0.5
29215,0.9217,0.5
29217,0.9346,0.5
29219,0.5602,0.5
29221,0.4202,0.5
29225,0.7444,0.5
29229,1.8182,1.5
29510,0.187,0.5
30001,2.8846,2.5
30003,2.8571,2.5
30005,4.4118,4.5
30009,2.1277,2.5
30013,0.3195,0.5
30017,0.8264,0.5
30021,1.0989,1.5
30023,2.6316,2.5
30025,3.3333,3.5
30027,2.0408,2.5
30029,0.3781,0.5
30031,0.2616,0.5
30035,1.3333,1.5
30041,1.6667,1.5
30047,2.1661,2.5
30049,0.5319,0.5
30053,1.4085,1.5
30055,3.4483,3.5
30061,3.4483,3.5
30063,0.3007,0.5
30067,0.6757,0.5
30073,3.3898,3.5
30075,7.6923,8
30081,0.2907,0.5
30083,1.6529,1.5
30085,4.0984,4.5
30087,4.3956,4.5
30093,0.7614,0.5
30101,5.1282,8
30103,20,15
30105,2.9851,2.5
30111,0.3145,0.5
31001,0.2849,0.5
31003,4,3.5
31013,0.9259,0.5
31019,0.1477,0.5
31025,0.3922,0.5
31043,0.4219,0.5
31045,0.8403,0.5
31047,0.3906,0.5
31053,0.5051,0.5
31055,0.2744,0.5
31067,0.4762,0.5
31079,0.1422,0.5
31097,2.8571,2.5
31107,3.0303,3.5
31109,0.0694,0.5
31111,0.2639,0.5
31117,0.5013,0.5
31127,1.3514,1.5
31141,0.5764,0.5
31145,0.9524,0.5
31147,1.4925,1.5
31151,0.6579,0.5
31153,0.0439,0.5
31157,0.5013,0.5
31161,2.3256,2.5
31169,2.5641,2.5
31173,4.0541,4.5
32001,0.7722,0.5
32003,0.0575,0.5
32005,0.7353,0.5
32007,0.7752,0.5
32011,10.5263,15
32013,1.0526,1.5
32015,5.0847,8
32017,2.2727,2.5
32019,0.7519,0.5
32021,5,4.5
32023,0.8671,0.5
32027,4.4444,4.5
32029,3.4483,3.5
32031,0.1601,0.5
32033,2.4691,2.5
32510,0.363,0.5
33001,0.3263,0.5
33003,0.5277,0.5
33005,0.1085,0.5
33007,1.773,1.5
33009,0.6404,0.5
33011,0.1827,0.5
33013,0.2338,0.5
33015,0.1787,0.5
33017,0.0551,0.5
33019,0.4525,0.5
34001,0.1888,0.5
34003,0.0535,0.5
34005,0.077,0.5
34007,0.1565,0.5
34009,0.443,0.5
34011,0.345,0.5
34013,0.1435,0.5
34015,0.0847,0.5
34017,0.1352,0.5
34019,0.0794,0.5
34021,0.1673,0.5
34023,0.0722,0.5
34025,0.1007,0.5
34027,0.1053,0.5
34029,0.1492,0.5
34031,0.0618,0.5
34033,0.2853,0.5
34035,0.0254,0.5
34037,0.0655,0.5
34039,0.0581,0.5
34041,0.1698,0.5
35001,0.492,0.5
35003,10.5263,15
35005,0.5236,0.5
35006,1.3115,1.5
35007,2.0202,2.5
35009,0.4673,0.5
35011,13.3333,15
35013,0.7821,0.5
35015,0.7364,0.5
35017,3.0534,3.5
35019,5.7143,8
35021,50,15
35023,8.1081,8
35025,0.3542,0.5
35027,0.6757,0.5
35028,0.5556,0.5
35029,2,1.5
35031,1.2513,1.5
35033,10.8108,15
35035,0.8054,0.5
35037,2.7778,2.5
35039,2.5701,2.5
35041,1.4652,1.5
35043,0.9475,0.5
35045,1.9802,1.5
35047,1.1166,1.5
35049,1.241,1.5
35051,2.8169,2.5
35053,3.0303,3.5
35055,3.6545,3.5
35057,3.5714,3.5
35059,3.125,3.5
35061,0.486,0.5
36001,0.0686,0.5
36003,0.9615,0.5
36005,0.39,0.5
36007,0.334,0.5
36009,0.7117,0.5
36011,0.6017,0.5
36013,0.2831,0.5
36015,0.1038,0.5
36017,0.4301,0.5
36019,0.2014,0.5
36021,0.3333,0.5
36023,0.8824,0.5
36025,0.4762,0.5
36027,0.2588,0.5
36029,0.1143,0.5
36031,1.2195,1.5
36033,0.8016,0.5
36035,0.1733,0.5
36037,0.159,0.5
36039,0.2342,0.5
36041,3.0303,3.5
36045,0.561,0.5
36047,0.1708,0.5
36049,0.7547,0.5
36051,0.5051,0.5
36053,0.2345,0.5
36055,0.2201,0.5
36057,0.1842,0.5
36059,0.1059,0.5
36061,0.2293,0.5
36063,0.208,0.5
36065,0.0774,0.5
36067,0.2381,0.5
36069,0.2471,0.5
36071,0.3339,0.5
36073,0.4348,0.5
36075,1.0784,1.5
36077,0.3827,0.5
36079,0.1867,0.5
36081,0.1185,0.5
36083,0.1011,0.5
36085,0.1685,0.5
36087,0.1856,0.5
36089,0.0765,0.5
36091,0.1059,0.5
36093,0.5848,0.5
36095,0.578,0.5
36097,0.5618,0.5
36099,0.3046,0.5
36101,0.3839,0.5
36103,0.0914,0.5
36105,0.4104,0.5
36107,0.5941,0.5
36109,0.0566,0.5
36111,0.3467,0.5
36113,1.4728,1.5
36115,0.3195,0.5
36117,0.3125,0.5
36119,0.216,0.5
36121,0.8043,0.5
36123,1.0345,1.5
37001,0.2064,0.5
37003,0.2703,0.5
37005,2.3529,2.5
37007,0.813,0.5
37009,0.9174,0.5
37011,1.3072,1.5
37013,0.6186,0.5
37015,1.7544,1.5
37017,0.5952,0.5
37019,0.1832,0.5
37021,0.1292,0.5
37023,0.2165,0.5
37025,0.1213,0.5
37027,0.3501,0.5
37029,0.9259,0.5
37031,0.1511,0.5
37033,1.5385,1.5
37035,0.1146,0.5
37037,0.4573,0.5
37039,0.8811,0.5
37041,0.7519,0.5
37043,1.1905,1.5
37045,0.0901,0.5
37047,1.4134,1.5
37049,0.1645,0.5
37051,0.1286,0.5
37053,0.3759,0.5
37055,0.59,0.5
37057,0.2246,0.5
37059,0.2398,0.5
37061,2.0443,2.5
37063,0.2168,0.5
37065,0.7874,0.5
37067,0.1066,0.5
37069,0.2903,0.5
37071,0.2693,0.5
37073,1.7391,1.5
37075,2.5316,2.5
37077,0.161,0.5
37079,0.5319,0.5
37081,0.0707,0.5
37083,0.3559,0.5
37085,0.2364,0.5
37087,0.3311,0.5
37089,0.5505,0.5
37091,1.626,1.5
37093,0.1368,0.5
37095,4.878,4.5
37097,0.1527,0.5
37099,0.1706,0.5
37101,0.1348,0.5
37103,2.1277,2.5
37105,0.1449,0.5
37107,0.3241,0.5
37109,0.2328,0.5
37111,0.6969,0.5
37113,0.4255,0.5
37115,0.9217,0.5
37117,0.2146,0.5
37119,0.0518,0.5
37121,2.381,2.5
37123,0.7491,0.5
37125,0.2083,0.5
37127,0.1857,0.5
37129,0.1308,0.5
37131,0.5405,0.5
37133,0.0762,0.5
37135,0.2262,0.5
37137,0.9524,0.5
37139,0.2083,0.5
37141,0.1621,0.5
37143,0.8264,0.5
37145,0.4751,0.5
37147,0.1048,0.5
37149,1.3158,1.5
37151,0.1277,0.5
37153,0.1934,0.5
37155,0.2987,0.5
37157,0.2068,0.5
37159,0.1252,0.5
37161,0.289,0.5
37163,1.1129,1.5
37165,0.5063,0.5
37167,0.1543,0.5
37169,0.2141,0.5
37171,0.1357,0.5
37173,2.5974,2.5
37175,0.6515,0.5
37177,2.8571,2.5
37179,0.0768,0.5
37181,0.1953,0.5
37183,0.069,0.5
37185,0.5848,0.5
37187,1.8349,1.5
37189,0.2268,0.5
37191,0.4079,0.5
37193,0.1468,0.5
37195,0.3125,0.5
37197,0.2604,0.5
37199,0.6623,0.5
38003,1.8868,1.5
38005,1.5385,1.5
38015,0.0873,0.5
38017,0.1874,0.5
38023,5.5556,8
38025,4.878,4.5
38031,3.4483,3.5
38035,0.2712,0.5
38053,0.7042,0.5
38055,1.2195,1.5
38057,2.7027,2.5
38061,5.6075,8
38065,6.25,8
38071,0.9009,0.5
38073,2.1739,2.5
38077,0.5291,0.5
38079,2.5974,2.5
38083,11.1111,15
38085,3.7037,3.5
38089,0.2611,0.5
38093,0.4405,0.5
38101,0.1064,0.5
38105,0.4739,0.5
39001,1.4599,1.5
39003,0.346,0.5
39005,0.1653,0.5
39007,0.2016,0.5
39009,0.2674,0.5
39013,0.5988,0.5
39015,0.8696,0.5
39017,0.0842,0.5
39019,0.369,0.5
39021,0.2445,0.5
39023,0.2667,0.5
39025,0.1738,0.5
39027,0.6383,0.5
39029,0.1955,0.5
39031,0.5222,0.5
39035,0.1685,0.5
39037,0.7619,0.5
39039,0.4751,0.5
39041,0.1337,0.5
39043,0.2548,0.5
39045,0.4709,0.5
39047,0.6309,0.5
39049,0.1247,0.5
39051,0.2212,0.5
39053,0.3067,0.5
39055,0.1111,0.5
39057,0.0486,0.5
39059,0.4831,0.5
39061,0.4013,0.5
39063,0.1119,0.5
39065,0.5305,0.5
39067,2.1583,2.5
39069,0.738,0.5
39071,0.9346,0.5
39073,0.3378,0.5
39075,0.207,0.5
39077,0.3195,0.5
39079,0.2755,0.5
39081,0.4093,0.5
39083,0.1408,0.5
39085,0.0405,0.5
39087,1.1976,1.5
39089,0.0512,0.5
39091,0.4158,0.5
39093,0.2091,0.5
39095,0.2621,0.5
39097,0.4608,0.5
39099,0.0807,0.5
39101,0.1517,0.5
39103,0.0529,0.5
39105,0.8969,0.5
39109,0.0881,0.5
39111,0.8,0.5
39113,0.187,0.5
39119,0.2024,0.5
39121,0.9091,0.5
39123,0.2725,0.5
39127,0.5128,0.5
39129,0.3257,0.5
39131,0.7117,0.5
39133,0.092,0.5
39135,0.2513,0.5
39139,0.8987,0.5
39141,0.1259,0.5
39143,0.9464,0.5
39145,0.4711,0.5
39147,0.3252,0.5
39151,0.1684,0.5
39153,0.0787,0.5
39155,0.0954,0.5
39157,0.1032,0.5
39159,0.266,0.5
39161,0.3333,0.5
39163,0.7874,0.5
39165,0.1205,0.5
39169,0.0765,0.5
39171,0.565,0.5
39173,0.1097,0.5
39175,0.4739,0.5
40001,1.6949,1.5
40003,2.2727,2.5
40005,1.5267,1.5
40007,3.9216,3.5
40009,0.8439,0.5
40011,2.2222,2.5
40013,0.3559,0.5
40015,1.4599,1.5
40017,0.2332,0.5
40019,0.5376,0.5
40021,0.9174,0.5
40023,2.069,2.5
40027,0.2259,0.5
40029,3.5088,3.5
40031,0.253,0.5
40033,1.6949,1.5
40035,1.5385,1.5
40037,0.5155,0.5
40039,0.9756,0.5
40041,0.5391,0.5
40047,0.2821,0.5
40049,1.0601,1.5
40051,0.1618,0.5
40053,5.1282,8
40055,2.1277,2.5
40057,4,3.5
40059,6.0606,8
40061,2.5,2.5
40063,1.7094,1.5
40065,0.3226,0.5
40067,1.8519,1.5
40069,2.5862,2.5
40071,1.2346,1.5
40073,0.6369,0.5
40075,1.1905,1.5
40077,1.8349,1.5
40079,0.9276,0.5
40081,0.2667,0.5
40083,0.3643,0.5
40085,0.9709,0.5
40087,1.4085,1.5
40089,0.6803,0.5
40091,0.4866,0.5
40093,0.6897,0.5
40095,1.4881,1.5
40097,2.907,2.5
40099,0.7246,0.5
40101,0.486,0.5
40103,0.9346,0.5
40105,1.9608,1.5
40107,1.8519,1.5
40109,0.1353,0.5
40111,1.139,1.5
40113,1.6563,1.5
40115,0.8451,0.5
40117,1.7544,1.5
40119,0.2222,0.5
40121,0.6652,0.5
40123,0.8097,0.5
40125,0.4338,0.5
40127,2.0619,2.5
40131,0.286,0.5
40133,1.9608,1.5
40135,0.6522,0.5
40137,0.2096,0.5
40139,0.4132,0.5
40141,1.4925,1.5
40143,0.1086,0.5
40145,0.4499,0.5
40147,0.6897,0.5
40151,0.9615,0.5
40153,0.4425,0.5
41001,0.7634,0.5
41003,0.3663,0.5
41005,0.254,0.5
41007,0.4831,0.5
41009,0.7394,0.5
41011,0.9646,0.5
41013,1.3953,1.5
41015,1.7341,1.5
41017,0.6391,0.5
41019,1.0466,1.5
41023,1.8182,1.5
41025,1.5152,1.5
41027,1.145,1.5
41029,0.795,0.5
41031,1.3953,1.5
41033,0.6219,0.5
41035,0.8487,0.5
41037,4.918,4.5
41039,0.2552,0.5
41041,1.6667,1.5
41043,0.1414,0.5
41045,1.3423,1.5
41047,0.1707,0.5
41049,2.5,2.5
41051,0.3386,0.5
41053,0.3791,0.5
41057,1.8265,1.5
41059,0.4779,0.5
41061,0.6494,0.5
41063,3.6364,3.5
41065,0.7117,0.5
41067,0.1144,0.5
41069,12.5,15
41071,0.3962,0.5
42001,0.1795,0.5
42003,0.2723,0.5
42005,0.1527,0.5
42007,0.2245,0.5
42009,0.6865,0.5
42011,0.1431,0.5
42013,0.1484,0.5
42015,0.1631,0.5
42017,0.0724,0.5
42019,0.2435,0.5
42021,0.2137,0.5
42023,2.5641,2.5
42027,0.0407,0.5
42029,0.0663,0.5
42031,0.6623,0.5
42033,0.3871,0.5
42037,0.1121,0.5
42039,0.2103,0.5
42041,0.0999,0.5
42043,0.0891,0.5
42045,0.1128,0.5
42047,0.3802,0.5
42049,0.1817,0.5
42051,0.3674,0.5
42055,0.348,0.5
42057,1.4599,1.5
42059,1.3587,1.5
42061,0.2217,0.5
42063,0.2775,0.5
42065,0.2375,0.5
42069,0.246,0.5
42071,0.1235,0.5
42073,0.2157,0.5
42075,0.1921,0.5
42077,0.1132,0.5
42079,0.1996,0.5
42081,0.076,0.5
42085,0.9992,0.5
42087,0.4211,0.5
42089,0.1031,0.5
42091,0.0722,0.5
42095,0.057,0.5
42097,0.1056,0.5
42101,0.3176,0.5
42107,0.14,0.5
42109,0.2075,0.5
42111,0.1427,0.5
42115,0.8403,0.5
42117,1.4151,1.5
42119,0.2033,0.5
42121,0.1938,0.5
42123,0.2625,0.5
42125,0.3106,0.5
42127,0.9615,0.5
42129,0.1109,0.5
42131,1.0204,1.5
42133,0.1565,0.5
44003,0.4246,0.5
44005,0.1075,0.5
44007,0.3036,0.5
44009,0.2656,0.5
45001,0.7435,0.5
45003,0.2592,0.5
45005,2.5,2.5
45007,0.0884,0.5
45009,1.2739,1.5
45011,1.31,1.5
45013,0.1605,0.5
45015,0.1489,0.5
45017,1.3333,1.5
45019,0.166,0.5
45021,0.2894,0.5
45023,0.5525,0.5
45025,1.0395,1.5
45027,0.9404,0.5
45029,0.5208,0.5
45031,0.6297,0.5
45033,0.2899,0.5
45035,0.1532,0.5
45037,0.3953,0.5
45039,2.8226,2.5
45041,0.4497,0.5
45043,1.0292,1.5
45045,0.0796,0.5
45047,0.5624,0.5
45049,1.005,1.5
45051,0.2856,0.5
45053,1.2903,1.5
45055,0.5587,0.5
45057,0.1017,0.5
45059,0.2564,0.5
45061,1.7857,1.5
45063,0.1723,0.5
45065,0.5797,0.5
45067,1.7986,1.5
45069,5.1724,8
45071,0.7177,0.5
45073,0.1323,0.5
45075,0.6481,0.5
45077,0.184,0.5
45079,0.1928,0.5
45081,1.4563,1.5
45083,0.1871,0.5
45085,0.3771,0.5
45087,0.3279,0.5
45089,0.9404,0.5
45091,0.1235,0.5
46003,8.6957,8
46005,1.0929,1.5
46007,5.1282,8
46009,2.2222,2.5
46011,0.1776,0.5
46013,0.4292,0.5
46015,4.1667,4.5
46017,8.6957,8
46023,2.2989,2.5
46027,0.3745,0.5
46029,0.3195,0.5
46031,6.9767,8
46033,1.5385,1.5
46035,0.4505,0.5
46041,8.0645,8
46043,4.3478,4.5
46047,1.9608,1.5
46051,1.6667,1.5
46053,3.3333,3.5
46055,6.6667,8
46057,1.8519,1.5
46059,4,3.5
46065,0.9901,0.5
46069,9.0909,8
46071,5.8824,8
46073,14.2857,15
46075,12.5,15
46077,4.6512,4.5
46079,0.9091,0.5
46081,0.3378,0.5
46083,0.2874,0.5
46085,5.2632,8
46093,0.6309,0.5
46095,4.7619,4.5
46097,16.6667,15
46099,0.2119,0.5
46101,3.5088,3.5
46103,0.493,0.5
46105,8,8
46107,5.8824,8
46109,2.0833,2.5
46111,5.2632,8
46115,1.6949,1.5
46117,3.7037,3.5
46119,7.6923,8
46121,0.8475,0.5
46123,2.1277,2.5
46127,1.2658,1.5
46129,2.0833,2.5
46135,0.4329,0.5
46137,3.2258,3.5
47001,0.2475,0.5
47003,0.1792,0.5
47005,0.7299,0.5
47007,1.7094,1.5
47009,0.2141,0.5
47011,0.1582,0.5
47013,0.7042,0.5
47015,1.3423,1.5
47017,0.3623,0.5
47019,0.5,0.5
47021,0.2237,0.5
47023,0.8584,0.5
47025,0.8902,0.5
47027,3.0303,3.5
47029,1.6216,1.5
47031,0.3273,0.5
47033,0.6289,0.5
47035,0.3906,0.5
47037,0.16,0.5
47039,0.9615,0.5
47041,1.0582,1.5
47043,0.3367,0.5
47045,0.2268,0.5
47047,0.4914,0.5
47049,1.227,1.5
47051,0.2075,0.5
47053,0.578,0.5
47055,0.3436,0.5
47057,1.7467,1.5
47059,0.2809,0.5
47061,2.3438,2.5
47063,0.2911,0.5
47065,0.2439,0.5
47067,3.1746,3.5
47069,0.9009,0.5
47071,2.1097,2.5
47073,1.1905,1.5
47075,1.0417,1.5
47077,0.3509,0.5
47079,0.3205,0.5
47081,0.7843,0.5
47083,1.3158,1.5
47085,0.5814,0.5
47087,1.8018,1.5
47089,0.5146,0.5
47091,1.4388,1.5
47093,0.1653,0.5
47095,6.1224,8
47097,0.7353,0.5
47099,0.2123,0.5
47101,1.7857,1.5
47103,0.3145,0.5
47105,0.4211,0.5
47107,0.722,0.5
47109,0.0806,0.5
47111,0.3322,0.5
47113,0.5405,0.5
47115,0.1847,0.5
47117,0.3478,0.5
47119,0.8097,0.5
47121,1.8018,1.5
47123,1.3986,1.5
47125,0.0688,0.5
47127,1.5873,1.5
47129,0.9804,0.5
47131,0.3012,0.5
47133,0.8734,0.5
47135,2.7778,2.5
47137,4.878,4.5
47139,1.7544,1.5
47141,0.2068,0.5
47143,0.5682,0.5
47145,0.1938,0.5
47147,0.1248,0.5
47149,0.0899,0.5
47151,2.6316,2.5
47153,0.6579,0.5
47155,0.095,0.5
47157,0.1976,0.5
47159,0.9479,0.5
47161,1.6667,1.5
47163,0.2427,0.5
47165,0.2374,0.5
47167,0.1362,0.5
47169,2.1505,2.5
47171,1.1561,1.5
47173,0.9709,0.5
47175,4.0816,4.5
47177,0.4566,0.5
47179,0.2474,0.5
47181,1.4388,1.5
47183,0.6897,0.5
47185,0.7874,0.5
47187,0.1231,0.5
47189,0.0651,0.5
48003,0.463,0.5
48007,0.4348,0.5
48013,0.3503,0.5
48015,2.5559,2.5
48017,1.3889,1.5
48021,0.2262,0.5
48025,0.6601,0.5
48027,0.1046,0.5
48029,0.1033,0.5
48037,0.3728,0.5
48039,0.1132,0.5
48041,0.0762,0.5
48043,2.1277,2.5
48047,1.4706,1.5
48049,0.4695,0.5
48051,1.1173,1.5
48053,0.2326,0.5
48055,0.5917,0.5
48059,2.1277,2.5
48061,0.1751,0.5
48067,0.3509,0.5
48071,0.611,0.5
48073,0.361,0.5
48085,0.0495,0.5
48091,0.07,0.5
48093,0.8475,0.5
48095,4.7619,4.5
48113,0.0869,0.5
48115,1.5152,1.5
48117,0.5556,0.5
48119,0.4608,0.5
48121,2.1739,2.5
48123,0.0797,0.5
48125,7.6923,8
48127,1.7391,1.5
48135,0.0482,0.5
48139,0.1467,0.5
48141,0.097,0.5
48143,0.1555,0.5
48147,0.3367,0.5
48149,0.4587,0.5
48157,0.1485,0.5
48163,1.1976,1.5
48165,0.4274,0.5
48167,0.1248,0.5
48171,0.4464,0.5
48175,1.3889,1.5
48177,0.4831,0.5
48181,0.0694,0.5
48183,0.5323,0.5
48185,0.4065,0.5
48187,0.053,0.5
48189,0.5208,0.5
48199,0.1572,0.5
48201,0.0764,0.5
48203,0.1311,0.5
48209,0.0968,0.5
48215,0.1384,0.5
48219,0.3509,0.5
48227,0.2584,0.5
48229,3.8462,3.5
48231,0.0927,0.5
48241,0.8696,0.5
48245,0.1317,0.5
48249,0.211,0.5
48255,0.7937,0.5
48257,0.1387,0.5
48267,2.8571,2.5
48273,0.8715,0.5
48277,2.8986,2.5
48279,0.3578,0.5
48287,0.6061,0.5
48289,0.6711,0.5
48291,0.0962,0.5
48293,0.9132,0.5
48297,0.9901,0.5
48303,0.223,0.5
48305,3.5714,3.5
48307,0.813,0.5
48309,1.2048,1.5
48313,3.2258,3.5
48315,0.2421,0.5
48317,0.2874,0.5
48319,1.3699,1.5
48321,0.506,0.5
48323,14.2857,15
48325,0.3953,0.5
48327,6.6667,8
48329,0.1381,0.5
48339,0.0603,0.5
48347,0.1018,0.5
48351,0.7299,0.5
48353,0.6329,0.5
48355,0.1506,0.5
48361,0.2035,0.5
48371,1.3333,1.5
48375,0.3501,0.5
48377,3.0303,3.5
48381,0.1157,0.5
48385,7.1429,8
48389,0.7353,0.5
48395,1.0929,1.5
48401,0.3676,0.5
48407,0.3984,0.5
48409,0.5096,0.5
48415,0.5495,0.5
48417,3.0303,3.5
48419,0.7576,0.5
48423,0.1418,0.5
48429,1.2048,1.5
48439,0.0222,0.5
48441,0.1048,0.5
48445,0.8475,0.5
48449,0.2618,0.5
48451,0.1304,0.5
48453,0.1157,0.5
48459,0.2294,0.5
48463,0.3106,0.5
48465,0.3478,0.5
48473,0.411,0.5
48479,0.113,0.5
48485,0.1908,0.5
48489,0.4329,0.5
48491,0.0577,0.5
48493,0.1919,0.5
48501,1.1236,1.5
48505,0.5682,0.5
48507,0.7634,0.5
49003,0.6309,0.5
49005,0.152,0.5
49007,1.6736,1.5
49011,0.0218,0.5
49015,1.9048,1.5
49017,9.3023,8
49019,3,2.5
49021,0.4219,0.5
49023,0.7576,0.5
49025,1.5385,1.5
49027,1.6807,1.5
49033,4.3478,4.5
49035,0.0945,0.5
49037,3.2432,3.5
49039,1.662,1.5
49041,0.4608,0.5
49043,0.6682,0.5
49045,0.1183,0.5
49047,0.4338,0.5
49049,0.0541,0.5
49051,0.5464,0.5
49053,0.3915,0.5
49055,4.3478,4.5
49057,0.1508,0.5
50001,0.9804,0.5
50003,0.5319,0.5
50005,1.6287,1.5
50007,0.2926,0.5
50009,3.6364,3.5
50011,1.0453,1.5
50013,1.4706,1.5
50015,1.0563,1.5
50017,1.3514,1.5
50019,0.3922,0.5
50021,0.9662,0.5
50023,0.6154,0.5
50025,0.7194,0.5
50027,1.4388,1.5
51001,1.3289,1.5
51003,0.075,0.5
51510,0.2304,0.5
51005,1.4286,1.5
51007,2.3077,2.5
51009,0.5747,0.5
51011,0.5952,0.5
51013,0.0248,0.5
51017,2.7027,2.5
51019,0.2587,0.5
51021,3.9216,3.5
51023,0.3205,0.5
51520,1.5544,1.5
51025,1.4085,1.5
51027,2.0833,2.5
51029,1.2739,1.5
51530,1.2195,1.5
51031,0.1592,0.5
51033,0.5682,0.5
51035,0.7663,0.5
51036,2.9851,2.5
51037,2.7523,2.5
51540,0.2191,0.5
51550,0.0651,0.5
51041,0.0473,0.5
51043,0.7299,0.5
51570,0.4854,0.5
51580,1.8182,1.5
51045,2,1.5
51047,0.1786,0.5
51049,2.0408,2.5
51590,0.4167,0.5
51051,1.3072,1.5
51053,0.6192,0.5
51595,3.125,3.5
51057,0.8929,0.5
51610,0.5952,0.5
51061,0.1342,0.5
51063,1.3245,1.5
51065,0.3155,0.5
51067,0.3578,0.5
51620,2.1978,2.5
51069,0.1049,0.5
51630,0.3802,0.5
51640,1.4493,1.5
51071,0.5714,0.5
51073,0.2551,0.5
51075,0.4673,0.5
51077,0.7813,0.5
51079,0.4785,0.5
51083,0.3106,0.5
51650,0.2122,0.5
51085,0.0889,0.5
51660,0.1835,0.5
51087,0.0466,0.5
51089,0.1984,0.5
51091,13.3333,15
51670,0.3425,0.5
51093,0.2632,0.5
51097,1.6667,1.5
51099,0.3546,0.5
51101,1.0695,1.5
51103,1.2821,1.5
51105,2.3923,2.5
51678,2.0408,2.5
51107,0.0402,0.5
51109,0.6006,0.5
51111,1.9608,1.5
51680,0.143,0.5
51113,0.8,0.5
51683,0.3578,0.5
51690,2.0833,2.5
51115,2.8169,2.5
51117,0.7463,0.5
51119,1.2658,1.5
51121,0.1256,0.5
51125,1.5038,1.5
51127,0.4587,0.5
51700,0.1895,0.5
51710,0.1366,0.5
51131,2.9412,2.5
51133,1.1905,1.5
51135,0.7692,0.5
51137,0.289,0.5
51139,0.4367,0.5
51141,0.7042,0.5
51730,0.7059,0.5
51143,0.3378,0.5
51740,0.1564,0.5
51145,0.369,0.5
51147,0.6079,0.5
51149,0.4773,0.5
51153,0.0501,0.5
51155,0.3012,0.5
51750,0.2632,0.5
51157,1.5385,1.5
