fips,No. of clinics per 1000 women with demand,colour assignment 
8081,0.6711,0.5
8083,1.1858,1.5
8085,0.9926,0.5
8087,0.6024,0.5
8089,1.676,1.5
8095,2.439,2.5
8097,0.4926,0.5
8099,5,4.5
8101,0.4744,0.5
8103,2.7027,2.5
8105,0.8696,0.5
8107,0.6689,0.5
8109,4,3.5
8113,2.3256,2.5
8115,4.5455,4.5
8117,0.978,0.5
8119,1.3889,1.5
8121,2.2222,2.5
8123,0.2883,0.5
8125,1.0101,1.5
9001,0.2045,0.5
9003,0.1829,0.5
9005,0.1629,0.5
9007,0.2798,0.5
9009,0.1663,0.5
9011,0.4175,0.5
9013,0.048,0.5
9015,0.6452,0.5
10001,0.4942,0.5
10003,0.2754,0.5
10005,0.4878,0.5
12001,0.1795,0.5
12003,0.6289,0.5
12005,0.0466,0.5
12007,0.8511,0.5
12009,0.1734,0.5
12011,0.0382,0.5
12013,0.7937,0.5
12015,0.2455,0.5
12017,0.4735,0.5
12019,0.2042,0.5
12021,0.3141,0.5
12023,0.4231,0.5
12027,1.2903,1.5
12029,1.626,1.5
12031,0.119,0.5
12033,0.1745,0.5
12035,0.3122,0.5
12037,3.5294,3.5
12039,1.2797,1.5
12041,2.3529,2.5
12043,1.9802,1.5
12045,2.5641,2.5
12047,0.9009,0.5
12049,1.0417,1.5
12051,0.6726,0.5
12053,0.1168,0.5
12055,0.3676,0.5
12057,0.1086,0.5
12059,1.1834,1.5
12061,0.4673,0.5
12063,0.2398,0.5
12065,0.8403,0.5
12067,2.9851,2.5
12069,0.1793,0.5
12071,0.1559,0.5
12073,0.2198,0.5
12075,0.8403,0.5
12077,4.5455,4.5
12079,1.1976,1.5
12081,0.3012,0.5
12083,0.3275,0.5
12085,0.4619,0.5
12086,0.1353,0.5
12087,0.8761,0.5
12089,0.3597,0.5
12091,0.1663,0.5
12093,0.7407,0.5
12095,0.1202,0.5
12097,0.2313,0.5
12099,0.1221,0.5
12101,0.1503,0.5
12103,0.1774,0.5
12105,0.1831,0.5
12107,0.7022,0.5
12109,0.2151,0.5
12111,0.2125,0.5
12113,0.0685,0.5
12115,0.1625,0.5
12117,0.2832,0.5
12119,0.6237,0.5
12121,0.8,0.5
12123,2.2099,2.5
12125,0.9174,0.5
12127,0.1284,0.5
12129,0.6231,0.5
12131,0.6154,0.5
12133,0.4587,0.5
13001,1.1111,1.5
13003,2.2472,2.5
13005,1.6393,1.5
13007,6.25,8
13009,0.32,0.5
13011,1.0811,1.5
13013,0.2022,0.5
13015,0.158,0.5
13017,1.5228,1.5
13019,1.0582,1.5
13021,0.2481,0.5
13023,1.2579,1.5
13025,0.9852,0.5
13027,0.6289,0.5
13029,0.4264,0.5
13031,0.16,0.5
13033,0.7605,0.5
13035,0.823,0.5
13037,4.0816,4.5
13039,0.4484,0.5
13043,1.7857,1.5
13045,0.1264,0.5
13047,0.2639,0.5
13049,2,1.5
13051,0.4128,0.5
13053,2.521,2.5
13055,0.7634,0.5
13057,0.1047,0.5
13059,0.2486,0.5
13061,7.1429,8
13063,0.1464,0.5
13065,1.2821,1.5
13067,0.0592,0.5
13069,0.5882,0.5
13071,0.3752,0.5
13073,0.0534,0.5
13075,0.5319,0.5
13077,0.1185,0.5
13079,0.813,0.5
13081,1.1236,1.5
13083,1.0309,1.5
13085,0.4065,0.5
13087,0.0918,0.5
13089,0.3205,0.5
13091,1.5152,1.5
13093,1.6949,1.5
13095,0.6436,0.5
13097,0.0525,0.5
13099,1.8519,1.5
13101,2.1277,2.5
13103,0.1395,0.5
13105,1.0695,1.5
13107,1.6807,1.5
13109,0.9009,0.5
13111,0.995,0.5
13113,0.0858,0.5
13115,0.1686,0.5
13117,0.0789,0.5
13119,0.8772,0.5
13121,0.182,0.5
13123,1.1538,1.5
13125,6.6667,8
13127,0.2037,0.5
13129,0.1473,0.5
13131,0.3846,0.5
13133,1.4184,1.5
13135,0.0667,0.5
13137,0.3697,0.5
13139,0.0859,0.5
13141,2.7778,2.5
13143,0.2967,0.5
13145,0.2915,0.5
13147,0.8475,0.5
13149,0.7752,0.5
13151,0.034,0.5
13153,0.1004,0.5
13155,3.4091,3.5
13157,0.5222,0.5
13159,0.6757,0.5
13161,0.6289,0.5
13163,2.4691,2.5
13165,1.1628,1.5
13167,2.3256,2.5
13169,0.9174,0.5
13171,0.8163,0.5
13173,0.7813,0.5
13175,0.3571,0.5
13177,0.5602,0.5
13179,0.3247,0.5
13181,1.2658,1.5
13183,0.7874,0.5
13185,0.1716,0.5
13187,0.5076,0.5
13189,2.459,2.5
13191,0.9202,0.5
13193,1.1364,1.5
13195,0.3984,0.5
13197,0.7353,0.5
13199,1.2931,1.5
13201,1.6949,1.5
13205,0.4695,0.5
13207,0.6944,0.5
13209,2.0619,2.5
13211,0.5155,0.5
13213,0.4246,0.5
13215,0.1502,0.5
13217,0.0722,0.5
13219,0.2513,0.5
13221,1.2195,1.5
13223,0.0496,0.5
13225,0.5666,0.5
13227,0.3175,0.5
13229,0.463,0.5
13231,0.9615,0.5
13233,0.6173,0.5
13235,1.3072,1.5
13237,0.495,0.5
13239,5.5556,8
13241,1.3699,1.5
13243,1.3158,1.5
13245,0.2853,0.5
13247,0.1802,0.5
13249,5.0847,8
13251,0.6993,0.5
13253,1.2346,1.5
13255,0.1299,0.5
13257,0.3344,0.5
13259,4.878,4.5
13261,1.4963,1.5
13263,3.5714,3.5
13265,7.6923,8
13267,1.3699,1.5
13269,2.4096,2.5
13271,1.6,1.5
