,fips,state,name,area_2010,unemployment_rate_2019,per_capita_income_2019,"Total publicly funded clinics, 2015 [1]",proportion_votes_democrats_2016,proportion_votes_republican_2016,clinics_per_sqmiles,clinics_per_1000_sqmiles,percent_votes_democrats_2016,percent_votes_republican_2016,Rates_of_adherence_per_1000_population
198,6033,California,Lake County,1256.46,8.4,27362,10,0.478344193,0.440935224,0.007958869,7.96,47.83,44.09,255.18
199,6035,California,Lassen County,4541.18,6.6,22134,5,0.213394742,0.726731913,0.001101035,1.10,21.34,72.67,233.67
200,6037,California,Los Angeles County,4057.88,5.7,34156,345,0.714071865,0.233886938,0.085019764,85.02,71.41,23.39,531.04
201,6039,California,Madera County,2137.07,8.1,22853,14,0.38767767,0.560984152,0.006551025,6.55,38.77,56.10,529.96
202,6041,California,Marin County,520.31,3.6,72466,14,0.788150008,0.159458255,0.026907036,26.91,78.82,15.95,435.04
203,6043,California,Mariposa County,1448.82,8.5,28757,3,0.351695393,0.584093725,0.002070651,2.07,35.17,58.41,423.43
204,6045,California,Mendocino County,3506.34,8.5,29035,24,0.603847836,0.312286839,0.006844744,6.84,60.38,31.23,327.15
205,6047,California,Merced County,1934.97,10.4,23011,25,0.513980669,0.434729441,0.012920097,12.92,51.40,43.47,544.79
206,6049,California,Modoc County,3917.77,8.1,22843,3,0.237570706,0.718368562,0.000765742,0.77,23.76,71.84,151.25
207,6051,California,Mono County,3048.98,3.6,34552,1,0.523088863,0.403570043,0.000327979,0.33,52.31,40.36,960.78
208,6053,California,Monterey County,3280.6,4.6,30073,25,0.669587074,0.272849518,0.007620557,7.62,66.96,27.28,494.07
209,6055,California,Napa County,748.36,4.3,45195,10,0.647661724,0.295744312,0.013362553,13.36,64.77,29.57,523.01
210,6057,California,Nevada County,957.77,3.8,39233,8,0.48707078,0.441577966,0.008352736,8.35,48.71,44.16,314.42
211,6059,California,Orange County,790.57,4.3,41514,64,0.509601544,0.432801094,0.080954248,80.95,50.96,43.28,457.63
212,6061,California,Placer County,1407.01,3.8,43759,10,0.411666622,0.524652566,0.00710727,7.11,41.17,52.47,383.76
213,6063,California,Plumas County,2553.04,6,35198,7,0.365118913,0.575198188,0.002741829,2.74,36.51,57.52,224.57
214,6065,California,Riverside County,7206.48,6.9,28596,54,0.496107441,0.452762678,0.007493256,7.49,49.61,45.28,444.37
215,6067,California,Sacramento County,964.64,6.1,32751,30,0.585567434,0.348695046,0.031099685,31.10,58.56,34.87,370.73
216,6069,California,San Benito County,1388.71,6.3,33174,6,0.57193262,0.368256317,0.004320556,4.32,57.19,36.83,645.75
217,6071,California,San Bernardino County,20056.94,7,25215,56,0.521920295,0.424130278,0.002792051,2.79,52.19,42.41,399.86
218,6073,California,San Diego County,4206.63,5.6,38073,125,0.560710166,0.382352214,0.029714998,29.71,56.07,38.24,439.17
219,6075,California,San Francisco County,46.87,4,68883,54,0.855316936,0.094425054,1.152122893,1152.12,85.53,9.44,353.08
220,6077,California,San Joaquin County,1391.32,7.1,27521,32,0.53880958,0.409944373,0.022999741,23.00,53.88,40.99,441.07
221,6079,California,San Luis Obispo County,3298.57,3.6,37233,22,0.505727473,0.422813566,0.006669557,6.67,50.57,42.28,539.5
222,6081,California,San Mateo County,448.41,3.6,61545,16,0.763759178,0.186891085,0.035681631,35.68,76.38,18.69,461.18
223,6083,California,Santa Barbara County,2735.09,5.2,36039,43,0.609655105,0.32723597,0.015721603,15.72,60.97,32.72,476.04
224,6085,California,Santa Clara County,1290.1,4.1,56248,57,0.73348019,0.208529799,0.044182622,44.18,73.35,20.85,435.57
225,6087,California,Santa Cruz County,445.17,5.2,41312,14,0.750469126,0.177589442,0.03144866,31.45,75.05,17.76,309.94
226,6089,California,Shasta County,3775.4,5.1,29720,17,0.282148469,0.655883893,0.004502834,4.50,28.21,65.59,270.01
227,6091,California,Sierra County,953.21,6.2,33747,2,0.333148559,0.580931264,0.002098174,2.10,33.31,58.09,150.93
228,6093,California,Siskiyou County,6277.89,7.3,28615,16,0.358237548,0.565234926,0.002548627,2.55,35.82,56.52,286.26
229,6095,California,Solano County,821.77,5.7,35400,18,0.622546727,0.317780184,0.021903939,21.90,62.25,31.78,375.73
230,6097,California,Sonoma County,1575.85,4,42178,31,0.707222967,0.22809338,0.019671923,19.67,70.72,22.81,351.31
231,6099,California,Stanislaus County,1494.83,8.6,26258,42,0.473539941,0.467269968,0.02809684,28.10,47.35,46.73,393.37
232,6101,California,Sutter County,602.41,7.8,27371,7,0.38880673,0.551447632,0.011619993,11.62,38.88,55.14,314.37
233,6103,California,Tehama County,2949.71,8.2,24301,8,0.287256831,0.654907104,0.002712131,2.71,28.73,65.49,295.81
234,6105,California,Trinity County,3179.25,7.9,26523,5,0.397794741,0.510814249,0.001572698,1.57,39.78,51.08,131.15
235,6107,California,Tulare County,4824.22,9.2,21380,51,0.413435408,0.533863447,0.010571657,10.57,41.34,53.39,407.38
236,6109,California,Tuolumne County,2220.88,5.4,34702,5,0.365541922,0.574556919,0.00225136,2.25,36.55,57.46,449.87
237,6111,California,Ventura County,1843.13,4.7,38595,41,0.553749663,0.385746441,0.022244768,22.24,55.37,38.57,448.16
238,6113,California,Yolo County,1014.69,5.7,34515,10,0.680718251,0.260316457,0.009855227,9.86,68.07,26.03,363.28
239,6115,California,Yuba County,631.84,6.7,25583,5,0.343527401,0.584718397,0.007913396,7.91,34.35,58.47,327.14
240,8001,Colorado,Adams County,1167.65,3.5,30313,16,0.493767309,0.421453248,0.013702736,13.70,49.38,42.15,293.59
241,8003,Colorado,Alamosa County,722.64,9.3,22131,4,0.459330144,0.439466435,0.00553526,5.54,45.93,43.95,741.02
242,8005,Colorado,Arapahoe County,798.1,3.7,40443,8,0.526755853,0.389259314,0.010023807,10.02,52.68,38.93,333.63
243,8007,Colorado,Archuleta County,1350.18,4.3,31629,1,0.341426612,0.58079561,0.000740642,0.74,34.14,58.08,778.14
244,8009,Colorado,Baca County,2554.97,2.3,24061,0,0.131941149,0.814428097,0,0.00,13.19,81.44,295.41
245,8011,Colorado,Bent County,1512.86,5.3,13930,1,0.307082452,0.61627907,0.000661,0.66,30.71,61.63,322.97
246,8013,Colorado,Boulder County,726.29,3.8,46826,8,0.705661018,0.219345348,0.011014884,11.01,70.57,21.93,415.08
247,8014,Colorado,Broomfield County,33.03,3.1,50863,1,0.523003588,0.38219699,0.030275507,30.28,52.30,38.22,304.39
248,8015,Colorado,Chaffee County,1013.4,3,29827,1,0.433948541,0.480316392,0.000986777,0.99,43.39,48.03,437.08
249,8017,Colorado,Cheyenne County,1778.28,8.3,29081,1,0.11802974,0.841078067,0.000562341,0.56,11.80,84.11,522.88
250,8019,Colorado,Clear Creek County,395.23,3.4,39203,0,0.467281273,0.438539407,0,0.00,46.73,43.85,155.26
251,8021,Colorado,Conejos County,1287.39,9.6,20640,3,0.441561713,0.474811083,0.002330296,2.33,44.16,47.48,743.82
252,8023,Colorado,Costilla County,1226.95,9.4,21732,1,0.609340659,0.319230769,0.000815029,0.82,60.93,31.92,983.54
253,8025,Colorado,Crowley County,787.42,13.3,15517,0,0.222369292,0.707478491,0,0.00,22.24,70.75,306.37
254,8027,Colorado,Custer County,738.63,7.2,29258,0,0.260117493,0.671997389,0,0.00,26.01,67.20,382.84
255,8029,Colorado,Delta County,1142.05,5.7,26499,1,0.242962607,0.695276394,0.000875618,0.88,24.30,69.53,363.63
256,8031,Colorado,Denver County,153,3.6,43770,41,0.751690767,0.187854889,0.267973856,267.97,75.17,18.79,507.8
257,8033,Colorado,Dolores County,1067.05,2.5,26323,1,0.184552846,0.76097561,0.000937163,0.94,18.46,76.10,165.21
258,8035,Colorado,Douglas County,840.25,2.5,53313,5,0.366530358,0.547666167,0.00595061,5.95,36.65,54.77,350.37
259,8037,Colorado,Eagle County,1684.53,2,44391,2,0.559550661,0.36057671,0.001187275,1.19,55.96,36.06,308.08
260,8039,Colorado,Elbert County,1850.85,1.7,44690,20,0.194786156,0.735292243,0.010805846,10.81,19.48,73.53,150.18
261,8041,Colorado,El Paso County,2126.8,5.2,33728,1,0.337746949,0.563425511,0.00047019,0.47,33.77,56.34,333.78
262,8043,Colorado,Fremont County,1533.07,4.2,22692,2,0.241087751,0.68857404,0.001304572,1.30,24.11,68.86,407.85
263,8045,Colorado,Garfield County,2947.56,4.5,33393,6,0.425592525,0.496467639,0.002035582,2.04,42.56,49.65,274.91
264,8047,Colorado,Gilpin County,149.9,1.7,49641,0,0.457190823,0.437604924,0,0.00,45.72,43.76,52.38
265,8049,Colorado,Grand County,1846.33,3.6,37876,2,0.38987431,0.524726888,0.00108323,1.08,38.99,52.47,250.42
266,8051,Colorado,Gunnison County,3239.1,3.7,32191,1,0.545004839,0.349499946,0.000308728,0.31,54.50,34.95,397.74
267,8053,Colorado,Hinsdale County,1117.25,5.5,33570,0,0.334465195,0.575551783,0,0.00,33.45,57.56,332.15
