fips,"Total publicly funded clinics, 2015 [1]","no. of women with demand, 18 and under to 44",No. of clinics per women with demand,No. of clinics per 1000 women with demand
16051,3.0000,3210.0000,0.0009,0.9346
16053,1.0000,2640.0000,0.0004,0.3788
16055,4.0000,17520.0000,0.0002,0.2283
16057,2.0000,6240.0000,0.0003,0.3205
16059,1.0000,580.0000,0.0017,1.7241
16061,2.0000,300.0000,0.0067,6.6667
16063,u,600.0000,#VALUE!,#VALUE!
16065,2.0000,7470.0000,0.0003,0.2677
16067,1.0000,2290.0000,0.0004,0.4367
16069,3.0000,4620.0000,0.0006,0.6494
16071,1.0000,380.0000,0.0026,2.6316
16073,3.0000,1170.0000,0.0026,2.5641
16075,3.0000,2480.0000,0.0012,1.2097
16077,2.0000,760.0000,0.0026,2.6316
16079,3.0000,1070.0000,0.0028,2.8037
16081,1.0000,1300.0000,0.0008,0.7692
16083,5.0000,10190.0000,0.0005,0.4907
16085,1.0000,830.0000,0.0012,1.2048
16087,1.0000,850.0000,0.0012,1.1765
17001,2.0000,7350.0000,0.0003,0.2721
17003,3.0000,630.0000,0.0048,4.7619
17005,1.0000,1740.0000,0.0006,0.5747
17007,1.0000,5890.0000,0.0002,0.1698
17009,u,470.0000,#VALUE!,#VALUE!
17011,u,3380.0000,#VALUE!,#VALUE!
17013,u,440.0000,#VALUE!,#VALUE!
17015,u,1240.0000,#VALUE!,#VALUE!
17017,2.0000,1290.0000,0.0016,1.5504
17019,6.0000,33850.0000,0.0002,0.1773
17021,u,3350.0000,#VALUE!,#VALUE!
17023,u,1530.0000,#VALUE!,#VALUE!
17025,1.0000,1270.0000,0.0008,0.7874
17027,u,3970.0000,#VALUE!,#VALUE!
17029,3.0000,7810.0000,0.0004,0.3841
17031,175.0000,715660.0000,0.0002,0.2445
17033,u,1740.0000,#VALUE!,#VALUE!
17035,u,1100.0000,#VALUE!,#VALUE!
17037,3.0000,16380.0000,0.0002,0.1832
17039,u,1670.0000,#VALUE!,#VALUE!
17041,u,2000.0000,#VALUE!,#VALUE!
17043,7.0000,111080.0000,0.0001,0.0630
17045,u,1670.0000,#VALUE!,#VALUE!
17047,1.0000,600.0000,0.0017,1.6667
17049,2.0000,3730.0000,0.0005,0.5362
17051,1.0000,2030.0000,0.0005,0.4926
17053,u,1370.0000,#VALUE!,#VALUE!
17055,2.0000,3800.0000,0.0005,0.5263
17057,2.0000,3380.0000,0.0006,0.5917
17059,1.0000,480.0000,0.0021,2.0833
17061,u,1220.0000,#VALUE!,#VALUE!
17063,u,5980.0000,#VALUE!,#VALUE!
17065,u,760.0000,#VALUE!,#VALUE!
17067,1.0000,1700.0000,0.0006,0.5882
17069,2.0000,310.0000,0.0065,6.4516
17071,2.0000,620.0000,0.0032,3.2258
17073,2.0000,4950.0000,0.0004,0.4040
17075,u,2580.0000,#VALUE!,#VALUE!
17077,6.0000,9240.0000,0.0006,0.6494
17079,u,880.0000,#VALUE!,#VALUE!
17081,1.0000,3920.0000,0.0003,0.2551
17083,1.0000,2410.0000,0.0004,0.4149
17085,u,1710.0000,#VALUE!,#VALUE!
17087,3.0000,980.0000,0.0031,3.0612
17089,10.0000,63010.0000,0.0002,0.1587
17091,2.0000,13350.0000,0.0001,0.1498
17093,2.0000,16090.0000,0.0001,0.1243
17095,2.0000,5270.0000,0.0004,0.3795
17097,2.0000,11530.0000,0.0002,0.1735
17099,6.0000,81040.0000,0.0001,0.0740
17101,1.0000,1330.0000,0.0008,0.7519
17103,1.0000,3270.0000,0.0003,0.3058
17105,1.0000,3980.0000,0.0003,0.2513
17107,u,3370.0000,#VALUE!,#VALUE!
17109,4.0000,12410.0000,0.0003,0.3223
17111,1.0000,4830.0000,0.0002,0.2070
17113,6.0000,31900.0000,0.0002,0.1881
17115,1.0000,4090.0000,0.0002,0.2445
17117,u,1120.0000,#VALUE!,#VALUE!
17119,1.0000,1260.0000,0.0008,0.7937
17121,1.0000,1490.0000,0.0007,0.6711
17123,u,4760.0000,#VALUE!,#VALUE!
17125,3.0000,34340.0000,0.0001,0.0874
17127,4.0000,25940.0000,0.0002,0.1542
17129,u,1280.0000,#VALUE!,#VALUE!
17131,u,1470.0000,#VALUE!,#VALUE!
17133,u,3490.0000,#VALUE!,#VALUE!
17135,u,2530.0000,#VALUE!,#VALUE!
17137,2.0000,3800.0000,0.0005,0.5263
17139,u,1420.0000,#VALUE!,#VALUE!
17141,u,5350.0000,#VALUE!,#VALUE!
17143,5.0000,23090.0000,0.0002,0.2165
17145,1.0000,1820.0000,0.0005,0.5495
17147,u,1670.0000,#VALUE!,#VALUE!
17149,1.0000,1470.0000,0.0007,0.6803
17151,1.0000,350.0000,0.0029,2.8571
17153,2.0000,550.0000,0.0036,3.6364
17155,u,500.0000,#VALUE!,#VALUE!
17157,u,2710.0000,#VALUE!,#VALUE!
17159,1.0000,1480.0000,0.0007,0.6757
17161,6.0000,16230.0000,0.0004,0.3697
17163,3.0000,2350.0000,0.0013,1.2766
17165,4.0000,23490.0000,0.0002,0.1703
17167,u,590.0000,#VALUE!,#VALUE!
17169,u,530.0000,#VALUE!,#VALUE!
17171,u,1950.0000,#VALUE!,#VALUE!
17173,12.0000,32140.0000,0.0004,0.3734
17175,u,530.0000,#VALUE!,#VALUE!
17177,1.0000,4550.0000,0.0002,0.2198
17179,1.0000,14720.0000,0.0001,0.0679
17181,2.0000,1610.0000,0.0012,1.2422
17183,1.0000,8320.0000,0.0001,0.1202
17185,1.0000,1090.0000,0.0009,0.9174
17187,u,1830.0000,#VALUE!,#VALUE!
17189,u,1380.0000,#VALUE!,#VALUE!
17191,1.0000,1540.0000,0.0006,0.6494
17193,3.0000,1280.0000,0.0023,2.3438
17195,1.0000,5760.0000,0.0002,0.1736
17197,3.0000,83570.0000,0.0000,0.0359
17199,4.0000,7420.0000,0.0005,0.5391
17201,5.0000,33220.0000,0.0002,0.1505
17203,u,4190.0000,#VALUE!,#VALUE!
18001,u,3720.0000,#VALUE!,#VALUE!
18003,4.0000,46080.0000,0.0001,0.0868
18005,3.0000,9600.0000,0.0003,0.3125
18007,u,880.0000,#VALUE!,#VALUE!
18009,u,1120.0000,#VALUE!,#VALUE!
18011,1.0000,7410.0000,0.0001,0.1350
18013,u,1360.0000,#VALUE!,#VALUE!
18015,1.0000,2070.0000,0.0005,0.4831
18017,1.0000,4010.0000,0.0002,0.2494
18019,3.0000,14130.0000,0.0002,0.2123
18021,u,2800.0000,#VALUE!,#VALUE!
18023,u,3460.0000,#VALUE!,#VALUE!
18025,u,990.0000,#VALUE!,#VALUE!
18027,1.0000,3620.0000,0.0003,0.2762
18029,u,4760.0000,#VALUE!,#VALUE!
18031,u,5250.0000,#VALUE!,#VALUE!
18033,1.0000,3000.0000,0.0003,0.3333
18035,6.0000,16750.0000,0.0004,0.3582
18037,1.0000,4510.0000,0.0002,0.2217
18039,5.0000,23920.0000,0.0002,0.2090
18041,u,2450.0000,#VALUE!,#VALUE!
18043,2.0000,9130.0000,0.0002,0.2191
18045,u,1530.0000,#VALUE!,#VALUE!
18047,u,2180.0000,#VALUE!,#VALUE!
18049,u,1930.0000,#VALUE!,#VALUE!
18051,u,3420.0000,#VALUE!,#VALUE!
18053,1.0000,8360.0000,0.0001,0.1196
18055,u,3040.0000,#VALUE!,#VALUE!
18057,3.0000,38250.0000,0.0001,0.0784
18059,1.0000,8430.0000,0.0001,0.1186
18061,2.0000,4260.0000,0.0005,0.4695
18063,1.0000,19020.0000,0.0001,0.0526
18065,1.0000,4820.0000,0.0002,0.2075
18067,1.0000,9240.0000,0.0001,0.1082
18069,u,4200.0000,#VALUE!,#VALUE!
18071,2.0000,4970.0000,0.0004,0.4024
18073,u,3800.0000,#VALUE!,#VALUE!
18075,u,2100.0000,#VALUE!,#VALUE!
18077,u,3970.0000,#VALUE!,#VALUE!
18079,u,3040.0000,#VALUE!,#VALUE!
18081,2.0000,19060.0000,0.0001,0.1049
18083,1.0000,4250.0000,0.0002,0.2353
18085,1.0000,9160.0000,0.0001,0.1092
18087,2.0000,11370.0000,0.0002,0.1759
18089,u,4120.0000,#VALUE!,#VALUE!
18091,16.0000,58300.0000,0.0003,0.2744
18093,u,4700.0000,#VALUE!,#VALUE!
18095,5.0000,14600.0000,0.0003,0.3425
18097,30.0000,133710.0000,0.0002,0.2244
18099,u,4970.0000,#VALUE!,#VALUE!
18101,u,960.0000,#VALUE!,#VALUE!
18103,1.0000,3580.0000,0.0003,0.2793
18105,2.0000,25220.0000,0.0001,0.0793
18107,u,3990.0000,#VALUE!,#VALUE!
18109,u,7640.0000,#VALUE!,#VALUE!
18111,u,1400.0000,#VALUE!,#VALUE!
18113,u,5280.0000,#VALUE!,#VALUE!
18115,u,560.0000,#VALUE!,#VALUE!
18117,u,1880.0000,#VALUE!,#VALUE!
18119,1.0000,2100.0000,0.0005,0.4762
18121,1.0000,1890.0000,0.0005,0.5291
18123,u,1690.0000,#VALUE!,#VALUE!
18125,1.0000,1230.0000,0.0008,0.8130
18127,5.0000,19620.0000,0.0003,0.2548
18129,u,2710.0000,#VALUE!,#VALUE!
18131,u,1170.0000,#VALUE!,#VALUE!
18133,1.0000,4320.0000,0.0002,0.2315
18135,u,2410.0000,#VALUE!,#VALUE!
18137,u,2880.0000,#VALUE!,#VALUE!
18139,1.0000,1640.0000,0.0006,0.6098
18141,1.0000,2640.0000,0.0004,0.3788
18143,u,4870.0000,#VALUE!,#VALUE!
18145,u,1900.0000,#VALUE!,#VALUE!
18147,6.0000,34320.0000,0.0002,0.1748
18149,u,2290.0000,#VALUE!,#VALUE!
18151,u,3530.0000,#VALUE!,#VALUE!
18153,u,2000.0000,#VALUE!,#VALUE!
18155,u,990.0000,#VALUE!,#VALUE!
18157,3.0000,29380.0000,0.0001,0.1021
18159,u,1400.0000,#VALUE!,#VALUE!
18161,u,750.0000,#VALUE!,#VALUE!
18163,7.0000,23110.0000,0.0003,0.3029
18165,2.0000,1560.0000,0.0013,1.2821
18167,4.0000,13730.0000,0.0003,0.2913
18169,u,3470.0000,#VALUE!,#VALUE!
18171,u,710.0000,#VALUE!,#VALUE!
18173,1.0000,6750.0000,0.0001,0.1481
18175,u,3030.0000,#VALUE!,#VALUE!
18177,2.0000,7410.0000,0.0003,0.2699
18179,u,2900.0000,#VALUE!,#VALUE!
18181,1.0000,2180.0000,0.0005,0.4587
18183,u,3480.0000,#VALUE!,#VALUE!
19001,u,600.0000,#VALUE!,#VALUE!
19003,u,310.0000,#VALUE!,#VALUE!
19005,u,1120.0000,#VALUE!,#VALUE!
19007,1.0000,1110.0000,0.0009,0.9009
19009,u,470.0000,#VALUE!,#VALUE!
19011,2.0000,2580.0000,0.0008,0.7752
19013,4.0000,18540.0000,0.0002,0.2157
19015,1.0000,2800.0000,0.0004,0.3571
19017,u,2860.0000,#VALUE!,#VALUE!
19019,1.0000,1990.0000,0.0005,0.5025
19021,1.0000,2350.0000,0.0004,0.4255
19023,1.0000,1290.0000,0.0008,0.7752
19025,u,790.0000,#VALUE!,#VALUE!
19027,1.0000,1880.0000,0.0005,0.5319
19029,1.0000,1150.0000,0.0009,0.8696
19031,u,1710.0000,#VALUE!,#VALUE!
19033,1.0000,4350.0000,0.0002,0.2299
19035,u,940.0000,#VALUE!,#VALUE!
19037,u,1050.0000,#VALUE!,#VALUE!
19039,u,880.0000,#VALUE!,#VALUE!
19041,u,1650.0000,#VALUE!,#VALUE!
19043,u,1450.0000,#VALUE!,#VALUE!
19045,2.0000,5020.0000,0.0004,0.3984
19047,1.0000,1600.0000,0.0006,0.6250
19049,2.0000,10690.0000,0.0002,0.1871
19051,u,900.0000,#VALUE!,#VALUE!
19053,2.0000,930.0000,0.0022,2.1505
19055,u,1550.0000,#VALUE!,#VALUE!
19057,2.0000,4130.0000,0.0005,0.4843
19059,u,1520.0000,#VALUE!,#VALUE!
19061,3.0000,11210.0000,0.0003,0.2676
19063,u,880.0000,#VALUE!,#VALUE!
19065,u,1870.0000,#VALUE!,#VALUE!
19067,u,1440.0000,#VALUE!,#VALUE!
19069,1.0000,910.0000,0.0011,1.0989
19071,u,580.0000,#VALUE!,#VALUE!
19073,u,780.0000,#VALUE!,#VALUE!
19075,u,1230.0000,#VALUE!,#VALUE!
19077,u,960.0000,#VALUE!,#VALUE!
19079,u,1360.0000,#VALUE!,#VALUE!
19081,u,930.0000,#VALUE!,#VALUE!
19083,u,1590.0000,#VALUE!,#VALUE!
19085,1.0000,1370.0000,0.0007,0.7299
19087,u,1840.0000,#VALUE!,#VALUE!
19089,u,810.0000,#VALUE!,#VALUE!
19091,1.0000,840.0000,0.0012,1.1905
19093,u,600.0000,#VALUE!,#VALUE!
19095,u,1510.0000,#VALUE!,#VALUE!
19097,1.0000,1690.0000,0.0006,0.5917
19099,u,3580.0000,#VALUE!,#VALUE!
19101,1.0000,1670.0000,0.0006,0.5988
19103,2.0000,24440.0000,0.0001,0.0818
19105,2.0000,1930.0000,0.0010,1.0363
19107,1.0000,900.0000,0.0011,1.1111
19109,u,1290.0000,#VALUE!,#VALUE!
19111,2.0000,3430.0000,0.0006,0.5831
19113,6.0000,27360.0000,0.0002,0.2193
19115,1.0000,1050.0000,0.0010,0.9524
19117,u,740.0000,#VALUE!,#VALUE!
19119,u,1080.0000,#VALUE!,#VALUE!
19121,u,1580.0000,#VALUE!,#VALUE!
19123,1.0000,2410.0000,0.0004,0.4149
19125,u,3480.0000,#VALUE!,#VALUE!
19127,2.0000,4180.0000,0.0005,0.4785
19129,u,1470.0000,#VALUE!,#VALUE!
19131,u,920.0000,#VALUE!,#VALUE!
19133,2.0000,730.0000,0.0027,2.7397
19135,1.0000,710.0000,0.0014,1.4085
19137,u,910.0000,#VALUE!,#VALUE!
19139,1.0000,4790.0000,0.0002,0.2088
19141,u,1230.0000,#VALUE!,#VALUE!
19143,u,470.0000,#VALUE!,#VALUE!
19145,u,1320.0000,#VALUE!,#VALUE!
19147,u,810.0000,#VALUE!,#VALUE!
19149,u,2630.0000,#VALUE!,#VALUE!
19151,u,550.0000,#VALUE!,#VALUE!
19153,11.0000,62490.0000,0.0002,0.1760
19155,3.0000,10500.0000,0.0003,0.2857
19157,1.0000,2050.0000,0.0005,0.4878
19159,u,430.0000,#VALUE!,#VALUE!
19161,u,810.0000,#VALUE!,#VALUE!
19163,4.0000,20860.0000,0.0002,0.1918
19165,1.0000,1010.0000,0.0010,0.9901
19167,2.0000,3810.0000,0.0005,0.5249
19169,2.0000,16310.0000,0.0001,0.1226
19171,2.0000,1560.0000,0.0013,1.2821
19173,u,570.0000,#VALUE!,#VALUE!
19175,u,1240.0000,#VALUE!,#VALUE!
19177,u,630.0000,#VALUE!,#VALUE!
19179,2.0000,3980.0000,0.0005,0.5025
19181,u,5800.0000,#VALUE!,#VALUE!
19183,u,2280.0000,#VALUE!,#VALUE!
19185,u,580.0000,#VALUE!,#VALUE!
19187,3.0000,3860.0000,0.0008,0.7772
19189,1.0000,950.0000,0.0011,1.0526
19191,1.0000,2340.0000,0.0004,0.4274
19193,2.0000,12540.0000,0.0002,0.1595
19195,u,750.0000,#VALUE!,#VALUE!
19197,1.0000,1080.0000,0.0009,0.9259
20001,2.0000,1220.0000,0.0016,1.6393
20003,1.0000,690.0000,0.0014,1.4493
20005,1.0000,2060.0000,0.0005,0.4854
20007,1.0000,390.0000,0.0026,2.5641
20009,2.0000,2850.0000,0.0007,0.7018
20011,1.0000,1420.0000,0.0007,0.7042
20013,2.0000,850.0000,0.0024,2.3529
20015,1.0000,7460.0000,0.0001,0.1340
20017,u,220.0000,#VALUE!,#VALUE!
20019,1.0000,270.0000,0.0037,3.7037
20021,2.0000,1860.0000,0.0011,1.0753
20023,u,210.0000,#VALUE!,#VALUE!
20025,u,180.0000,#VALUE!,#VALUE!
20027,1.0000,700.0000,0.0014,1.4286
20029,1.0000,890.0000,0.0011,1.1236
20031,1.0000,780.0000,0.0013,1.2821
20033,1.0000,160.0000,0.0063,6.2500
20035,2.0000,4000.0000,0.0005,0.5000
20037,2.0000,5340.0000,0.0004,0.3745
20039,1.0000,200.0000,0.0050,5.0000
20041,u,1790.0000,#VALUE!,#VALUE!
20043,1.0000,850.0000,0.0012,1.1765
20045,3.0000,20600.0000,0.0001,0.1456
20047,1.0000,260.0000,0.0038,3.8462
20049,u,180.0000,#VALUE!,#VALUE!
20051,2.0000,4100.0000,0.0005,0.4878
20053,1.0000,480.0000,0.0021,2.0833
20055,2.0000,4420.0000,0.0005,0.4525
20057,1.0000,3950.0000,0.0003,0.2532
20059,2.0000,2830.0000,0.0007,0.7067
20061,3.0000,5290.0000,0.0006,0.5671
20063,u,220.0000,#VALUE!,#VALUE!
20065,u,200.0000,#VALUE!,#VALUE!
20067,4.0000,800.0000,0.0050,5.0000
20069,1.0000,610.0000,0.0016,1.6393
20071,u,120.0000,#VALUE!,#VALUE!
20073,1.0000,470.0000,0.0021,2.1277
20075,u,270.0000,#VALUE!,#VALUE!
20077,1.0000,490.0000,0.0020,2.0408
20079,3.0000,3840.0000,0.0008,0.7813
20081,1.0000,430.0000,0.0023,2.3256
20083,u,160.0000,#VALUE!,#VALUE!
20085,2.0000,1340.0000,0.0015,1.4925
20087,u,1800.0000,#VALUE!,#VALUE!
20089,u,200.0000,#VALUE!,#VALUE!
20091,5.0000,72240.0000,0.0001,0.0692
20093,1.0000,440.0000,0.0023,2.2727
20095,1.0000,710.0000,0.0014,1.4085
20097,1.0000,260.0000,0.0038,3.8462
20099,1.0000,2040.0000,0.0005,0.4902
20101,u,140.0000,#VALUE!,#VALUE!
20103,1.0000,8430.0000,0.0001,0.1186
20105,1.0000,240.0000,0.0042,4.1667
20107,u,910.0000,#VALUE!,#VALUE!
20109,1.0000,260.0000,0.0038,3.8462
20111,1.0000,5000.0000,0.0002,0.2000
20113,u,1090.0000,#VALUE!,#VALUE!
20115,u,850.0000,#VALUE!,#VALUE!
20117,1.0000,3010.0000,0.0003,0.3322
20119,1.0000,410.0000,0.0024,2.4390
20121,2.0000,3330.0000,0.0006,0.6006
20123,1.0000,520.0000,0.0019,1.9231
20125,2.0000,3320.0000,0.0006,0.6024
20127,1.0000,450.0000,0.0022,2.2222
20129,1.0000,270.0000,0.0037,3.7037
20131,u,900.0000,#VALUE!,#VALUE!
20133,1.0000,1510.0000,0.0007,0.6623
20135,u,220.0000,#VALUE!,#VALUE!
20137,u,400.0000,#VALUE!,#VALUE!
20139,u,1530.0000,#VALUE!,#VALUE!
20141,1.0000,310.0000,0.0032,3.2258
20143,1.0000,570.0000,0.0018,1.7544
20145,1.0000,550.0000,0.0018,1.8182
20147,1.0000,480.0000,0.0021,2.0833
20149,2.0000,2710.0000,0.0007,0.7380
20151,1.0000,920.0000,0.0011,1.0870
20153,u,180.0000,#VALUE!,#VALUE!
20155,2.0000,6400.0000,0.0003,0.3125
20157,1.0000,350.0000,0.0029,2.8571
20159,1.0000,950.0000,0.0011,1.0526
20161,1.0000,13700.0000,0.0001,0.0730
20163,1.0000,460.0000,0.0022,2.1739
20165,u,260.0000,#VALUE!,#VALUE!
20167,1.0000,630.0000,0.0016,1.5873
20169,2.0000,6110.0000,0.0003,0.3273
20171,u,440.0000,#VALUE!,#VALUE!
20173,18.0000,64190.0000,0.0003,0.2804
20175,2.0000,2750.0000,0.0007,0.7273
20177,6.0000,20520.0000,0.0003,0.2924
20179,1.0000,200.0000,0.0050,5.0000
20181,1.0000,540.0000,0.0019,1.8519
20183,1.0000,260.0000,0.0038,3.8462
20185,1.0000,350.0000,0.0029,2.8571
20187,1.0000,180.0000,0.0056,5.5556
20189,u,560.0000,#VALUE!,#VALUE!
20191,1.0000,2380.0000,0.0004,0.4202
20193,1.0000,960.0000,0.0010,1.0417
20195,1.0000,250.0000,0.0040,4.0000
20197,1.0000,630.0000,0.0016,1.5873
20199,u,130.0000,#VALUE!,#VALUE!
20201,1.0000,450.0000,0.0022,2.2222
20203,u,170.0000,#VALUE!,#VALUE!
20205,u,770.0000,#VALUE!,#VALUE!
20207,u,280.0000,#VALUE!,#VALUE!
20209,1.0000,20790.0000,0.0000,0.0481
21001,2.0000,2170.0000,0.0009,0.9217
21003,1.0000,2310.0000,0.0004,0.4329
21005,2.0000,2570.0000,0.0008,0.7782
21007,1.0000,810.0000,0.0012,1.2346
21009,1.0000,4870.0000,0.0002,0.2053
21011,1.0000,1330.0000,0.0008,0.7519
21013,2.0000,2900.0000,0.0007,0.6897
21015,3.0000,15250.0000,0.0002,0.1967
21017,1.0000,2150.0000,0.0005,0.4651
21019,2.0000,5040.0000,0.0004,0.3968
21021,1.0000,3360.0000,0.0003,0.2976
21023,1.0000,900.0000,0.0011,1.1111
21025,1.0000,1330.0000,0.0008,0.7519
21027,1.0000,1810.0000,0.0006,0.5525
21029,1.0000,9430.0000,0.0001,0.1060
21031,1.0000,1350.0000,0.0007,0.7407
21033,2.0000,1240.0000,0.0016,1.6129
21035,1.0000,5810.0000,0.0002,0.1721
21037,3.0000,11660.0000,0.0003,0.2573
21039,1.0000,460.0000,0.0022,2.1739
21041,1.0000,1080.0000,0.0009,0.9259
21043,1.0000,2810.0000,0.0004,0.3559
21045,1.0000,1610.0000,0.0006,0.6211
21047,3.0000,8810.0000,0.0003,0.3405
21049,1.0000,4010.0000,0.0002,0.2494
21051,2.0000,2050.0000,0.0010,0.9756
21053,2.0000,990.0000,0.0020,2.0202
21055,1.0000,840.0000,0.0012,1.1905
21057,2.0000,620.0000,0.0032,3.2258
21059,3.0000,11320.0000,0.0003,0.2650
21061,1.0000,1290.0000,0.0008,0.7752
21063,1.0000,610.0000,0.0016,1.6393
21065,2.0000,1380.0000,0.0014,1.4493
21067,7.0000,47050.0000,0.0001,0.1488
21069,1.0000,1470.0000,0.0007,0.6803
21071,6.0000,3670.0000,0.0016,1.6349
21073,1.0000,6070.0000,0.0002,0.1647
21075,2.0000,650.0000,0.0031,3.0769
21077,2.0000,970.0000,0.0021,2.0619
21079,1.0000,1690.0000,0.0006,0.5917
21081,1.0000,2820.0000,0.0004,0.3546
21083,1.0000,4040.0000,0.0002,0.2475
21085,1.0000,2630.0000,0.0004,0.3802
21087,1.0000,1010.0000,0.0010,0.9901
21089,1.0000,3700.0000,0.0003,0.2703
21091,1.0000,910.0000,0.0011,1.0989
21093,2.0000,12720.0000,0.0002,0.1572
21095,5.0000,2670.0000,0.0019,1.8727
21097,1.0000,1850.0000,0.0005,0.5405
21099,1.0000,1810.0000,0.0006,0.5525
21101,3.0000,5260.0000,0.0006,0.5703
21103,1.0000,1700.0000,0.0006,0.5882
21105,1.0000,430.0000,0.0023,2.3256
21107,2.0000,5020.0000,0.0004,0.3984
21109,2.0000,1340.0000,0.0015,1.4925
21111,11.0000,97410.0000,0.0001,0.1129
21113,1.0000,6520.0000,0.0002,0.1534
21115,1.0000,2260.0000,0.0004,0.4425
21117,2.0000,20610.0000,0.0001,0.0970
21119,2.0000,1580.0000,0.0013,1.2658
21121,3.0000,3570.0000,0.0008,0.8403
21123,1.0000,1540.0000,0.0006,0.6494
21125,1.0000,6940.0000,0.0001,0.1441
21127,1.0000,1560.0000,0.0006,0.6410
21129,2.0000,590.0000,0.0034,3.3898
21131,2.0000,1050.0000,0.0019,1.9048
21133,3.0000,2160.0000,0.0014,1.3889
21135,2.0000,1340.0000,0.0015,1.4925
21137,1.0000,2670.0000,0.0004,0.3745
21139,1.0000,910.0000,0.0011,1.0989
21141,2.0000,2660.0000,0.0008,0.7519
21143,1.0000,540.0000,0.0019,1.8519
21145,4.0000,13220.0000,0.0003,0.3026
21147,2.0000,1240.0000,0.0016,1.6129
21149,1.0000,1920.0000,0.0005,0.5208
21151,1.0000,2960.0000,0.0003,0.3378
21153,2.0000,1010.0000,0.0020,1.9802
21155,2.0000,1890.0000,0.0011,1.0582
21157,1.0000,7250.0000,0.0001,0.1379
21159,3.0000,1630.0000,0.0018,1.8405
21161,2.0000,970.0000,0.0021,2.0619
21163,1.0000,3340.0000,0.0003,0.2994
21165,1.0000,660.0000,0.0015,1.5152
21167,1.0000,2090.0000,0.0005,0.4785
21169,1.0000,1040.0000,0.0010,0.9615
21171,3.0000,1000.0000,0.0030,3.0000
21173,3.0000,3260.0000,0.0009,0.9202
21175,1.0000,1140.0000,0.0009,0.8772
21177,3.0000,3010.0000,0.0010,0.9967
21179,1.0000,5280.0000,0.0002,0.1894
21181,1.0000,710.0000,0.0014,1.4085
21183,1.0000,2440.0000,0.0004,0.4098
21185,1.0000,6580.0000,0.0002,0.1520
21187,3.0000,1040.0000,0.0029,2.8846
21189,2.0000,440.0000,0.0045,4.5455
21191,1.0000,1570.0000,0.0006,0.6369
21193,4.0000,2740.0000,0.0015,1.4599
21195,2.0000,5930.0000,0.0003,0.3373
21197,1.0000,1300.0000,0.0008,0.7692
21199,1.0000,6820.0000,0.0001,0.1466
21201,1.0000,180.0000,0.0056,5.5556
21203,1.0000,1800.0000,0.0006,0.5556
21205,1.0000,3700.0000,0.0003,0.2703
21207,3.0000,1700.0000,0.0018,1.7647
21209,1.0000,7030.0000,0.0001,0.1422
21211,1.0000,5710.0000,0.0002,0.1751
21213,1.0000,1900.0000,0.0005,0.5263
21215,2.0000,2000.0000,0.0010,1.0000
21217,1.0000,2980.0000,0.0003,0.3356
21219,1.0000,1280.0000,0.0008,0.7813
21221,1.0000,1340.0000,0.0007,0.7463
21223,1.0000,940.0000,0.0011,1.0638
21225,1.0000,1540.0000,0.0006,0.6494
21227,4.0000,18210.0000,0.0002,0.2197
21229,1.0000,1260.0000,0.0008,0.7937
21231,1.0000,1990.0000,0.0005,0.5025
21233,3.0000,1310.0000,0.0023,2.2901
21235,3.0000,4250.0000,0.0007,0.7059
21237,1.0000,690.0000,0.0014,1.4493
21239,1.0000,2840.0000,0.0004,0.3521
22001,2.0000,7550.0000,0.0003,0.2649
22003,2.0000,2270.0000,0.0009,0.8811
22005,2.0000,15540.0000,0.0001,0.1287
22007,1.0000,2520.0000,0.0004,0.3968
22009,3.0000,4280.0000,0.0007,0.7009
22011,2.0000,4080.0000,0.0005,0.4902
22013,3.0000,1390.0000,0.0022,2.1583
22015,2.0000,16070.0000,0.0001,0.1245
22017,6.0000,31980.0000,0.0002,0.1876
22019,2.0000,25560.0000,0.0001,0.0782
22021,1.0000,970.0000,0.0010,1.0309
22023,u,780.0000,#VALUE!,#VALUE!
22025,3.0000,910.0000,0.0033,3.2967
22027,2.0000,1270.0000,0.0016,1.5748
22029,2.0000,2050.0000,0.0010,0.9756
22031,2.0000,3110.0000,0.0006,0.6431
22033,8.0000,66530.0000,0.0001,0.1202
22035,1.0000,650.0000,0.0015,1.5385
22037,5.0000,1900.0000,0.0026,2.6316
22039,2.0000,3420.0000,0.0006,0.5848
22041,3.0000,2070.0000,0.0014,1.4493
22043,2.0000,2230.0000,0.0009,0.8969
22045,2.0000,8810.0000,0.0002,0.2270
22047,4.0000,4050.0000,0.0010,0.9877
22049,1.0000,1470.0000,0.0007,0.6803
22051,13.0000,53990.0000,0.0002,0.2408
22053,2.0000,3390.0000,0.0006,0.5900
22055,1.0000,1500.0000,0.0007,0.6667
22057,6.0000,33690.0000,0.0002,0.1781
22059,2.0000,12240.0000,0.0002,0.1634
22061,1.0000,7950.0000,0.0001,0.1258
22063,3.0000,17980.0000,0.0002,0.1669
22065,2.0000,1330.0000,0.0015,1.5038
22067,5.0000,2890.0000,0.0017,1.7301
22069,2.0000,5430.0000,0.0004,0.3683
22071,26.0000,59390.0000,0.0004,0.4378
22073,6.0000,21000.0000,0.0003,0.2857
22075,1.0000,2830.0000,0.0004,0.3534
22077,5.0000,2410.0000,0.0021,2.0747
22079,4.0000,16120.0000,0.0002,0.2481
22081,1.0000,840.0000,0.0012,1.1905
22083,6.0000,2230.0000,0.0027,2.6906
22085,1.0000,2320.0000,0.0004,0.4310
