fips,"Total publicly funded clinics, 2015 [1]","no. of women with demand, 18 and under to 44",No. of clinics per women with demand,No. of clinics per 1000 women with demand
5041,2.0000,1230.0000,0.0016,1.6260
5043,2.0000,2270.0000,0.0009,0.8811
5045,3.0000,18650.0000,0.0002,0.1609
5047,1.0000,1690.0000,0.0006,0.5917
5049,1.0000,960.0000,0.0010,1.0417
5051,1.0000,10310.0000,0.0001,0.0970
5053,2.0000,2020.0000,0.0010,0.9901
5055,2.0000,5300.0000,0.0004,0.3774
5057,1.0000,2250.0000,0.0004,0.4444
5059,1.0000,3460.0000,0.0003,0.2890
5061,1.0000,1390.0000,0.0007,0.7194
5063,2.0000,4180.0000,0.0005,0.4785
5065,1.0000,1030.0000,0.0010,0.9709
5067,2.0000,1880.0000,0.0011,1.0638
5069,5.0000,8280.0000,0.0006,0.6039
5071,1.0000,2790.0000,0.0004,0.3584
5073,1.0000,610.0000,0.0016,1.6393
5075,1.0000,1750.0000,0.0006,0.5714
5077,2.0000,750.0000,0.0027,2.6667
5079,2.0000,1090.0000,0.0018,1.8349
5081,1.0000,1310.0000,0.0008,0.7634
5083,3.0000,2100.0000,0.0014,1.4286
5085,7.0000,9020.0000,0.0008,0.7761
5087,2.0000,1650.0000,0.0012,1.2121
5089,2.0000,1240.0000,0.0016,1.6129
5091,1.0000,5080.0000,0.0002,0.1969
5093,3.0000,5270.0000,0.0006,0.5693
5095,3.0000,720.0000,0.0042,4.1667
5097,1.0000,690.0000,0.0014,1.4493
5099,1.0000,770.0000,0.0013,1.2987
5101,3.0000,680.0000,0.0044,4.4118
5103,1.0000,2520.0000,0.0004,0.3968
5105,2.0000,1040.0000,0.0019,1.9231
5107,2.0000,2230.0000,0.0009,0.8969
5109,1.0000,1050.0000,0.0010,0.9524
5111,5.0000,2760.0000,0.0018,1.8116
5113,2.0000,1790.0000,0.0011,1.1173
5115,1.0000,8170.0000,0.0001,0.1224
5117,3.0000,720.0000,0.0042,4.1667
5119,7.0000,52190.0000,0.0001,0.1341
5121,2.0000,1680.0000,0.0012,1.1905
5123,1.0000,13960.0000,0.0001,0.0716
5125,1.0000,960.0000,0.0010,1.0417
5127,2.0000,660.0000,0.0030,3.0303
5129,3.0000,15550.0000,0.0002,0.1929
5131,u,1780.0000,#VALUE!,#VALUE!
5133,2.0000,1390.0000,0.0014,1.4388
5135,2.0000,2650.0000,0.0008,0.7547
5137,1.0000,1020.0000,0.0010,0.9804
5139,1.0000,4370.0000,0.0002,0.2288
5141,3.0000,1330.0000,0.0023,2.2556
5143,5.0000,32860.0000,0.0002,0.1522
5145,5.0000,10080.0000,0.0005,0.4960
5147,4.0000,630.0000,0.0063,6.3492
5149,2.0000,2240.0000,0.0009,0.8929
6001,66.0000,234040.0000,0.0003,0.2820
6003,1.0000,90.0000,0.0111,11.1111
6005,4.0000,2730.0000,0.0015,1.4652
6007,24.0000,29330.0000,0.0008,0.8183
6009,6.0000,3550.0000,0.0017,1.6901
6011,6.0000,2260.0000,0.0027,2.6549
6013,31.0000,139150.0000,0.0002,0.2228
6015,8.0000,2550.0000,0.0031,3.1373
6017,9.0000,18480.0000,0.0005,0.4870
6019,65.0000,126700.0000,0.0005,0.5130
6021,7.0000,2940.0000,0.0024,2.3810
6023,27.0000,17690.0000,0.0015,1.5263
6025,16.0000,21120.0000,0.0008,0.7576
6027,6.0000,1580.0000,0.0038,3.7975
6029,65.0000,111320.0000,0.0006,0.5839
6031,21.0000,17880.0000,0.0012,1.1745
6033,10.0000,6010.0000,0.0017,1.6639
6035,5.0000,2540.0000,0.0020,1.9685
6037,345.0000,1384040.0000,0.0002,0.2493
6039,14.0000,20320.0000,0.0007,0.6890
6041,14.0000,24620.0000,0.0006,0.5686
6043,3.0000,1420.0000,0.0021,2.1127
6045,24.0000,8870.0000,0.0027,2.7057
6047,25.0000,34040.0000,0.0007,0.7344
6049,3.0000,750.0000,0.0040,4.0000
6051,1.0000,1450.0000,0.0007,0.6897
6053,25.0000,53920.0000,0.0005,0.4636
6055,10.0000,16520.0000,0.0006,0.6053
6057,8.0000,9000.0000,0.0009,0.8889
6059,64.0000,411600.0000,0.0002,0.1555
6061,10.0000,42430.0000,0.0002,0.2357
6063,7.0000,1490.0000,0.0047,4.6980
6065,54.0000,302800.0000,0.0002,0.1783
6067,30.0000,200010.0000,0.0001,0.1500
6069,6.0000,7160.0000,0.0008,0.8380
6071,56.0000,284410.0000,0.0002,0.1969
6073,125.0000,446480.0000,0.0003,0.2800
6075,54.0000,137440.0000,0.0004,0.3929
6077,32.0000,92270.0000,0.0003,0.3468
6079,22.0000,33940.0000,0.0006,0.6482
6081,16.0000,97260.0000,0.0002,0.1645
6083,43.0000,60270.0000,0.0007,0.7135
6085,57.0000,257310.0000,0.0002,0.2215
6087,14.0000,36070.0000,0.0004,0.3881
6089,17.0000,19570.0000,0.0009,0.8687
6091,2.0000,200.0000,0.0100,10.0000
6093,16.0000,3670.0000,0.0044,4.3597
6095,18.0000,54660.0000,0.0003,0.3293
6097,31.0000,58400.0000,0.0005,0.5308
6099,42.0000,68530.0000,0.0006,0.6129
6101,7.0000,11630.0000,0.0006,0.6019
6103,8.0000,6660.0000,0.0012,1.2012
6105,5.0000,990.0000,0.0051,5.0505
6107,51.0000,57740.0000,0.0009,0.8833
6109,5.0000,4760.0000,0.0011,1.0504
6111,41.0000,104390.0000,0.0004,0.3928
6113,10.0000,34200.0000,0.0003,0.2924
6115,5.0000,9640.0000,0.0005,0.5187
8001,16.0000,67210.0000,0.0002,0.2381
8003,4.0000,2200.0000,0.0018,1.8182
8005,8.0000,85030.0000,0.0001,0.0941
8007,1.0000,1020.0000,0.0010,0.9804
8009,u,290.0000,#VALUE!,#VALUE!
8011,1.0000,330.0000,0.0030,3.0303
8013,8.0000,44760.0000,0.0002,0.1787
8014,1.0000,8720.0000,0.0001,0.1147
8015,1.0000,1460.0000,0.0007,0.6849
8017,1.0000,160.0000,0.0063,6.2500
8019,u,860.0000,#VALUE!,#VALUE!
8021,3.0000,770.0000,0.0039,3.8961
8023,1.0000,280.0000,0.0036,3.5714
8025,u,260.0000,#VALUE!,#VALUE!
8027,u,270.0000,#VALUE!,#VALUE!
8029,1.0000,2490.0000,0.0004,0.4016
8031,41.0000,109730.0000,0.0004,0.3736
8033,1.0000,170.0000,0.0059,5.8824
8035,5.0000,39400.0000,0.0001,0.1269
8037,2.0000,6750.0000,0.0003,0.2963
8039,20.0000,91000.0000,0.0002,0.2198
