,fips,No. of clinics per 1000 women with demand
315,9015,0.6452
316,10001,0.4942
317,10003,0.2754
318,10005,0.4878
319,12001,0.1795
320,12003,0.6289
321,12005,0.0466
322,12007,0.8511
323,12009,0.1734
324,12011,0.0382
325,12013,0.7937
326,12015,0.2455
327,12017,0.4735
328,12019,0.2042
329,12021,0.3141
330,12023,0.4231
331,12027,1.2903
332,12029,1.6260
333,12031,0.1190
334,12033,0.1745
335,12035,0.3122
336,12037,3.5294
337,12039,1.2797
338,12041,2.3529
339,12043,1.9802
340,12045,2.5641
341,12047,0.9009
342,12049,1.0417
343,12051,0.6726
344,12053,0.1168
345,12055,0.3676
346,12057,0.1086
347,12059,1.1834
348,12061,0.4673
349,12063,0.2398
350,12065,0.8403
351,12067,2.9851
352,12069,0.1793
353,12071,0.1559
354,12073,0.2198
355,12075,0.8403
356,12077,4.5455
357,12079,1.1976
358,12081,0.3012
359,12083,0.3275
360,12085,0.4619
361,12086,0.1353
362,12087,0.8761
363,12089,0.3597
364,12091,0.1663
365,12093,0.7407
366,12095,0.1202
367,12097,0.2313
368,12099,0.1221
369,12101,0.1503
370,12103,0.1774
371,12105,0.1831
372,12107,0.7022
373,12109,0.2151
374,12111,0.2125
375,12113,0.0685
376,12115,0.1625
377,12117,0.2832
378,12119,0.6237
379,12121,0.8000
380,12123,2.2099
381,12125,0.9174
382,12127,0.1284
383,12129,0.6231
384,12131,0.6154
385,12133,0.4587
386,13001,1.1111
387,13003,2.2472
388,13005,1.6393
389,13007,6.2500
390,13009,0.3200
391,13011,1.0811
392,13013,0.2022
393,13015,0.1580
394,13017,1.5228
395,13019,1.0582
396,13021,0.2481
397,13023,1.2579
398,13025,0.9852
399,13027,0.6289
400,13029,0.4264
401,13031,0.1600
402,13033,0.7605
403,13035,0.8230
404,13037,4.0816
405,13039,0.4484
406,13043,1.7857
407,13045,0.1264
408,13047,0.2639
409,13049,2.0000
410,13051,0.4128
411,13053,2.5210
412,13055,0.7634
